Site,Distance from estuary mouth,Depth from (m),Depth to (m),AVERAGE depth,AVS (%S),CRS (%S),Net Acidity (mol H+/t),Organic C (%),Total N (%),ALUMINIUM (mg/kg),ARSENIC (mg/kg),CHROMIUM (mg/kg),COPPER (mg/kg),IRON (mg/kg),MANGANESE (mg/kg),NICKEL (mg/kg),ZINC (mg/kg),BORON (mg/kg),COBALT (mg/kg),BARIUM (mg/kg),CALCIUM (mg/kg),MAGNESIUM (mg/kg),POTASSIUM (mg/kg),SODIUM (mg/kg),CHLORIDE (mg/kg),SULFUR (mg/kg)
MSC10,10,0.28,0.55,0.415,0,4.65,3190.43,27.5,0.904,720.863,0.087,0.021,0.001,490.888,13.532,21.337,13.285,0.741,8.793,0.549,627.721,688.307,77.502,2310.745,2926.298,2998.987
MSC10,10,0.55,0.8,0.675,0,7.42,4887.73,26.1,0.862,486.906,0.057,0.023,0.001,418.236,11.719,21.601,8.179,0.61,11.732,0.374,534.184,607.676,74.027,2033.001,2531.289,2436.826
MSC10,10,0.8,1.1,0.95,0,9.38,6169.72,26.5,0.789,1152.953,0.123,0.044,0.003,837.481,11.193,57.041,25.581,0.662,26.46,0.461,495.499,586.226,79.001,2320.678,2921.6,3866.472
MSC11,11,0,0.25,0.125,0,0.3,575.43,27.4,1.19,40.676,0.013,0.023,0.021,70.412,1.142,0.107,0.273,0.245,0.048,0.089,10.253,39.484,98.091,380.695,514.342,126.799
MSC11,11,0.25,0.5,0.375,0,0.16,460.82,31.4,1.39,32.988,0.073,0.016,0.01,4.995,0.296,0.09,0.217,0.268,0.03,0.181,7.167,48.815,47.411,467.554,664.15,134.693
MSC11,11,0.5,0.83,0.665,0,0.37,540.9,21.4,0.896,74.905,0.036,0.046,0.009,32.728,0.746,0.315,0.728,0.217,0.182,0.458,18.751,77.336,46.013,407.392,469.464,342.976
MSC11,11,0.83,1.04,0.935,0,0.61,442.64,3.41,0.131,50.734,0.038,0.009,0.003,31.47,0.15,0.464,0.329,0.08,0.48,0.443,5.763,17.452,4.16,86.385,93.032,152.138
MSC11,11,1.04,1.29,1.165,0,0.07,81.4,1.28,0.065,3.992,0.033,0.006,0.002,2.156,0.033,0.06,0.047,0.081,0.049,0.327,3.165,8.079,2.801,59.675,84.867,28.26
MSC12,12,0,0.16,0.08,0,0.01,103.27,16.8,0.503,34.985,0.006,0.02,0.038,41.801,2.764,0.034,0.166,0.459,0.016,0.208,50.316,43.497,107.29,110.574,330.696,19.004
MSC12,12,0.16,0.4,0.28,0,0.01,86.69,5.05,0.161,14.568,0.004,0.016,0.018,14.362,0.305,0.023,0.065,0.158,0.007,0.095,9.378,13.019,19.608,83.776,90.48,34.395
MSC12,12,0.4,0.66,0.53,0,0.01,60.19,1.1,0.06,0.633,0.001,0.004,0.003,2.499,0.063,0.01,0.031,0.173,0.003,0.023,7.852,12.844,7.623,85.668,90.631,48.694
